time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
7720.34,0,0,0,0,16
7834.28,0,0,0,16,0
7834.28,0,0,0,8,8
7834.28,0,0,0,0,16
8005.08,0,0,0,8,8
8007.22,0,0,0,16,0
8007.23,0,0,0,0,16
8112.11,0,0,0,16,0
8112.11,0,0,0,0,16
8225.91,0,0,0,16,0
8225.91,0,0,0,8,8
8225.91,0,0,0,4,12
8225.91,0,0,0,0,16
8314.49,0,0,0,4,12
8314.49,0,0,0,0,16
8363.16,0,0,0,4,12
8398.85,0,0,0,12,4
8403.07,0,0,0,16,0
8403.08,0,0,0,0,16
8507.96,0,0,0,16,0
8507.96,0,0,0,8,8
8507.96,0,0,0,0,16
8678.76,0,0,0,8,8
8678.76,0,0,0,16,0
8678.76,0,0,0,8,8
8678.76,0,0,0,0,16
8849.56,0,0,0,8,8
8851.7,0,0,0,16,0
8851.7,0,0,0,0,16
8956.58,0,0,0,16,0
8956.59,0,0,0,8,8
8956.59,0,0,0,4,12
8956.59,0,0,0,0,16
9094.75,0,0,0,4,12
9094.75,0,0,0,8,8
9129.53,0,0,0,16,0
9129.53,0,0,0,0,16
9243.47,0,0,0,16,0
9243.47,0,0,0,8,8
9243.47,0,0,0,0,16
9416.41,0,0,0,8,8
9416.41,0,0,0,16,0
9416.41,0,0,0,0,16
9521.29,0,0,0,16,0
9521.3,0,0,0,8,8
9521.3,0,0,0,0,16
9692.1,0,0,0,8,8
9692.1,0,0,0,4,12
9692.1,0,0,0,0,16
9694.24,0,0,0,8,8
9694.24,0,0,0,0,16
9780.68,0,0,0,4,12
9830.26,0,0,0,8,8
9830.26,0,0,0,0,16
9865.04,0,0,0,8,8
9865.04,0,0,0,0,16
10003.2,0,0,0,8,8
10003.2,0,0,0,0,16
10035.8,0,0,0,8,8
10035.8,0,0,0,0,16
10176.1,0,0,0,8,8
10176.1,0,0,0,0,16
10206.6,0,0,0,8,8
10206.6,0,0,0,0,16
10349.1,0,0,0,8,8
10349.1,0,0,0,4,12
10349.1,0,0,0,0,16
10377.4,0,0,0,8,8
10377.4,0,0,0,0,16
10437.7,0,0,0,4,12
10437.7,0,0,0,0,16
10486.3,0,0,0,4,12
10548.2,0,0,0,12,4
10574.9,0,0,0,16,0
10574.9,0,0,0,0,16
10688.9,0,0,0,16,0
