time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
8133.69,0,0,0,8,8
8133.69,0,0,0,0,16
8304.49,0,0,0,8,8
8306.63,0,0,0,16,0
8306.64,0,0,0,0,16
8411.52,0,0,0,16,0
8411.52,0,0,0,8,8
8411.52,0,0,0,0,16
8582.32,0,0,0,8,8
8582.32,0,0,0,0,16
8584.46,0,0,0,8,8
8584.46,0,0,0,4,12
8584.46,0,0,0,0,16
8673.04,0,0,0,4,12
8673.04,0,0,0,0,16
8722.62,0,0,0,4,12
8753.12,0,0,0,12,4
8810.29,0,0,0,16,0
8810.29,0,0,0,0,16
8915.17,0,0,0,16,0
8915.18,0,0,0,8,8
8915.18,0,0,0,0,16
9088.12,0,0,0,8,8
9088.12,0,0,0,16,0
9088.12,0,0,0,0,16
9202.06,0,0,0,16,0
9202.06,0,0,0,12,4
9202.06,0,0,0,4,12
9202.06,0,0,0,0,16
9339.31,0,0,0,4,12
9340.22,0,0,0,8,8
9375,0,0,0,16,0
9375.01,0,0,0,0,16
9479.89,0,0,0,16,0
9479.89,0,0,0,12,4
9479.89,0,0,0,4,12
9479.89,0,0,0,0,16
9568.47,0,0,0,4,12
9568.47,0,0,0,0,16
9617.14,0,0,0,4,12
9617.14,0,0,0,0,16
9652.83,0,0,0,8,8
9652.83,0,0,0,0,16
9657.05,0,0,0,4,12
9657.05,0,0,0,0,16
9755.3,0,0,0,4,12
9755.3,0,0,0,0,16
9795.21,0,0,0,4,12
9795.22,0,0,0,0,16
9823.63,0,0,0,8,8
9823.63,0,0,0,0,16
9883.8,0,0,0,4,12
9883.8,0,0,0,0,16
9893.46,0,0,0,4,12
9893.46,0,0,0,0,16
9982.04,0,0,0,4,12
9994.43,0,0,0,12,4
9994.44,0,0,0,4,12
9994.44,0,0,0,0,16
10021,0,0,0,4,12
10021.1,0,0,0,0,16
10131.7,0,0,0,4,12
10159.2,0,0,0,8,8
10159.2,0,0,0,4,12
10167.4,0,0,0,12,4
10167.4,0,0,0,4,12
10167.4,0,0,0,0,16
10247.8,0,0,0,4,12
10247.8,0,0,0,0,16
10304.6,0,0,0,4,12
10336.4,0,0,0,8,8
10336.4,0,0,0,4,12
10338.2,0,0,0,12,4
10338.2,0,0,0,4,12
10338.2,0,0,0,0,16
10425,0,0,0,4,12
10425,0,0,0,0,16
10476.3,0,0,0,4,12
10511.1,0,0,0,12,4
10511.1,0,0,0,4,12
10511.1,0,0,0,0,16
10563.1,0,0,0,4,12
10563.1,0,0,0,0,16
10599.7,0,0,0,4,12
10599.7,0,0,0,0,16
10651.7,0,0,0,4,12
10651.7,0,0,0,0,16
10681.9,0,0,0,8,8
10681.9,0,0,0,0,16
10737,0,0,0,4,12
10737,0,0,0,0,16
10789,0,0,0,4,12
10789,0,0,0,0,16
10854.9,0,0,0,8,8
10854.9,0,0,0,0,16
10874.2,0,0,0,4,12
10874.2,0,0,0,0,16
10926.2,0,0,0,4,12
10926.2,0,0,0,0,16
11012.4,0,0,0,4,12
11025.7,0,0,0,12,4
11025.7,0,0,0,4,12
11025.7,0,0,0,0,16
11064.4,0,0,0,4,12
11064.4,0,0,0,0,16
11152.9,0,0,0,4,12
11162.9,0,0,0,8,8
11196.5,0,0,0,16,0
11196.5,0,0,0,0,16
11310.4,0,0,0,16,0
11310.4,0,0,0,8,8
11310.4,0,0,0,0,16
11483.4,0,0,0,8,8
11483.4,0,0,0,16,0
11483.4,0,0,0,0,16
11588.2,0,0,0,16,0
11588.2,0,0,0,8,8
11588.2,0,0,0,0,16
11761.2,0,0,0,8,8
11761.2,0,0,0,16,0
11761.2,0,0,0,0,16
11875.1,0,0,0,16,0
11875.1,0,0,0,8,8
11875.1,0,0,0,0,16
