time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
4755.93,0,0,0,0,64
4787.29,0,0,0,8,56
4793.33,0,0,0,24,40
4793.33,0,0,0,8,56
4802.84,0,0,0,0,64
4898.21,0,0,0,16,48
4898.21,0,0,0,0,64
4926.73,0,0,0,8,56
4926.74,0,0,0,4,60
4926.74,0,0,0,0,64
4973.64,0,0,0,8,56
4973.64,0,0,0,0,64
5012.01,0,0,0,16,48
5012.02,0,0,0,0,64
5015.32,0,0,0,4,60
5015.32,0,0,0,8,56
5015.32,0,0,0,0,64
5116.9,0,0,0,16,48
5116.9,0,0,0,0,64
5146.58,0,0,0,8,56
5146.58,0,0,0,4,60
5146.58,0,0,0,0,64
5186.12,0,0,0,8,56
5186.12,0,0,0,4,60
5202.66,0,0,0,0,64
5221.78,0,0,0,16,48
5221.78,0,0,0,0,64
5260.75,0,0,0,32,32
5283.83,0,0,0,36,28
5284.74,0,0,0,40,24
5324.28,0,0,0,44,20
5335.72,0,0,0,60,4
5339.91,0,0,0,64,0
5339.91,0,0,0,0,64
5418.57,0,0,0,64,0
5418.57,0,0,0,32,32
5418.57,0,0,0,0,64
6864.6,0,0,0,32,32
6864.6,0,0,0,64,0
6864.6,0,0,0,32,32
6864.61,0,0,0,0,64
6999.71,0,0,0,32,32
6999.71,0,0,0,0,64
7134.81,0,0,0,32,32
7134.81,0,0,0,0,64
7269.91,0,0,0,32,32
7269.91,0,0,0,0,64
8310.63,0,0,0,32,32
8310.64,0,0,0,24,40
8310.64,0,0,0,8,56
8310.64,0,0,0,4,60
8310.64,0,0,0,0,64
8399.22,0,0,0,4,60
8399.22,0,0,0,0,64
8415.52,0,0,0,16,48
8415.52,0,0,0,12,52
8415.52,0,0,0,8,56
8415.52,0,0,0,4,60
8415.52,0,0,0,0,64
8447.89,0,0,0,4,60
8447.89,0,0,0,0,64
8483.58,0,0,0,8,56
8483.58,0,0,0,4,60
8483.58,0,0,0,0,64
8487.8,0,0,0,4,60
8487.8,0,0,0,0,64
8504.1,0,0,0,4,60
8504.1,0,0,0,0,64
8553.68,0,0,0,4,60
8553.68,0,0,0,8,56
8553.68,0,0,0,12,52
8553.68,0,0,0,8,56
8553.69,0,0,0,4,60
8553.69,0,0,0,0,64
8572.16,0,0,0,4,60
8572.16,0,0,0,0,64
8585.14,0,0,0,4,60
8585.14,0,0,0,0,64
8592.68,0,0,0,4,60
8592.69,0,0,0,0,64
8620.83,0,0,0,4,60
8620.83,0,0,0,0,64
8625.96,0,0,0,4,60
8625.96,0,0,0,0,64
8642.27,0,0,0,4,60
8642.27,0,0,0,8,56
8642.27,0,0,0,4,60
8642.27,0,0,0,0,64
8681.27,0,0,0,4,60
8681.27,0,0,0,0,64
8690.93,0,0,0,4,60
8690.94,0,0,0,0,64
8709.41,0,0,0,4,60
8709.41,0,0,0,0,64
8710.32,0,0,0,4,60
8710.32,0,0,0,0,64
8710.4,0,0,0,32,32
8723.3,0,0,0,36,28
8763.21,0,0,0,40,24
8779.52,0,0,0,44,20
8779.52,0,0,0,48,16
8818.52,0,0,0,52,12
8829.1,0,0,0,56,8
8847.57,0,0,0,60,4
8847.57,0,0,0,64,0
8847.58,0,0,0,0,64
8926.24,0,0,0,64,0
8926.24,0,0,0,56,8
8926.24,0,0,0,24,40
8926.24,0,0,0,16,48
8926.24,0,0,0,8,56
8926.24,0,0,0,4,60
8926.24,0,0,0,0,64
9014.82,0,0,0,4,60
9014.82,0,0,0,0,64
9063.49,0,0,0,4,60
9063.49,0,0,0,0,64
9099.18,0,0,0,8,56
9099.18,0,0,0,16,48
9099.18,0,0,0,24,40
9099.18,0,0,0,20,44
9099.19,0,0,0,16,48
9099.19,0,0,0,12,52
9099.19,0,0,0,8,56
9099.19,0,0,0,4,60
9099.19,0,0,0,0,64
9103.4,0,0,0,4,60
9103.41,0,0,0,0,64
9187.77,0,0,0,4,60
9187.77,0,0,0,8,56
9187.77,0,0,0,12,52
9187.77,0,0,0,8,56
9187.77,0,0,0,4,60
9191.99,0,0,0,8,56
9200.74,0,0,0,12,52
9200.75,0,0,0,4,60
9219.88,0,0,0,0,64
9236.44,0,0,0,4,60
9237.34,0,0,0,8,56
9237.35,0,0,0,12,52
9276.35,0,0,0,16,48
9276.35,0,0,0,20,44
9276.35,0,0,0,12,52
9276.35,0,0,0,4,60
9308.46,0,0,0,8,56
9308.46,0,0,0,0,64
9371.55,0,0,0,8,56
9371.55,0,0,0,0,64
9447.15,0,0,0,8,56
9447.16,0,0,0,0,64
9449.29,0,0,0,8,56
9449.3,0,0,0,0,64
9479.26,0,0,0,8,56
9479.26,0,0,0,0,64
9544.49,0,0,0,8,56
9544.49,0,0,0,0,64
9617.96,0,0,0,8,56
9617.96,0,0,0,0,64
9622.24,0,0,0,8,56
9622.24,0,0,0,0,64
9650.06,0,0,0,8,56
9650.06,0,0,0,0,64
9715.29,0,0,0,8,56
9715.29,0,0,0,0,64
9790.9,0,0,0,8,56
9790.9,0,0,0,0,64
9795.18,0,0,0,8,56
9795.18,0,0,0,0,64
9823,0,0,0,8,56
9823,0,0,0,0,64
9888.23,0,0,0,8,56
9888.24,0,0,0,0,64
9963.84,0,0,0,8,56
9963.84,0,0,0,0,64
9965.98,0,0,0,8,56
9965.98,0,0,0,0,64
9993.8,0,0,0,8,56
9993.81,0,0,0,0,64
10061.2,0,0,0,8,56
10061.2,0,0,0,0,64
10134.6,0,0,0,8,56
